,Movie_Title,Year,ThreeWords
0,Sphere,1998,"['alien', 'attacking', 'beth']"
1,American Outlaws,2001,"['bang', 'burned', 'carousing']"
2,Her,2014,"['amy', 'apartment', 'earpiece']"
3,Signs,2002,"['crying', 'flashlight', 'graham']"
4,A Perfect World,2019,"['111', '40', 'afterthought']"
5,Excalibur,1981,"['animal', 'beowulf', 'crow']"
6,The Relic,2020,"['frock', 'll', 'maceration']"
7,Beasts of the Southern Wild,2012,"['background', 'deodorant', 'dirge']"
8,King Kong,2005,"['angle', 'ann', 'banter']"
9,The Apartment,1960,"['apartment', 'billy', 'diamond']"
10,Machete,2010,"['benz', 'bushes', 'draft']"
11,xXx,2002,"['accident', 'aims', 'binocular']"
12,I Still Know What You Did Last Summer,1998,"['expected', 'help', 'hotel']"
13,Speed,1994,"['brought', 'database', 'internet']"
14,Devil in a Blue Dress,1995,"['blood', 'coffee', 'connection']"
15,Clerks,1994,"['box', 'coffee', 'dante']"
16,Sleepy Hollow,1999,"['arts', 'axe', 'dream']"
17,Tomorrow Never Dies,1997,"['amidst', 'bang', 'billion']"
18,Babel,2006,"['90', 'carts', 'dates']"
19,Grabbers,2012,"['2011', '28', 'beaches']"
20,The King of Comedy,1999,"['chan', 'doing', 'evening']"
21,New York Minute,2004,"['bike', 'blackberry', 'destabilizing']"
22,Hollow Man,2000,"['blood', 'carter', 'closed']"
23,Bonnie and Clyde,1967,"['bonnie', 'car', 'catch']"
24,Tombstone,1993,"['bears', 'california', 'doc']"
25,Birthday Girl,2001,"['alexei', 'arms', 'awful']"
26,Get Out,2017,"['bed', 'finds', 'greene']"
27,The Wolf of Wall Street,2013,"['beers', 'casually', 'champagne']"
28,Trainspotting,1996,"['breakfast', 'cautiously', 'detectives']"
29,No Strings Attached,2011,"['adam', 'alvin', 'computers']"
30,Scream 2,21997,"['away', 'completely', 'dewey']"
31,S. Darko,2009,"['29', 'awkward', 'blurred']"
32,Zerophilia,2006,"['beers', 'cream', 'day']"
33,Purple Rain,1984,"['applause', 'brass', 'bridal']"
34,Alien Resurrection,1997,"['alien', 'falls', 'fires']"
35,Nick of Time,1995,"['17pm', 'beefy', 'center']"
36,Le Diable par la Queue,1969,"['bob', 'diable', 'elle']"
37,Shrek,2001,"['actually', 'breaks', 'bugs']"
38,The Blast from the Past,1999,"['blast', 'hugh', 'kelly']"
39,Roughshod,1949,"['30', 'clay', 'father']"
40,The Invention of Lying,2009,"['attack', 'come', 'cursing']"
41,Ghost World,2001,"['acme', 'blueshammer', 'box']"
42,While She Was Out,2008,"['bitch', 'chuckie', 'clumps']"
43,The Debt,2011,"['237', 'amendments', 'ceiling']"
44,Un Singe en Hiver,1962,"['affectueusement', 'albert', 'aperçoit']"
45,Erin Brockovich,2000,"['brown', 'cause', 'consolation']"
46,Stir of Echoes,1999,"['dining', 'drink', 'freezes']"
47,Arsenic and Old Lace,1944,"['anxious', 'brother', 'dig']"
48,Hotel Rwanda,2005,"['armed', 'captain', 'collapses']"
49,Very Bad Things,1998,"['adam', 'cookies', 'crucifix']"
50,Wag the Dog,1997,"['aircrewman', 'anchor', 'come']"
51,Star Wars Return of the Jedi,1983,"['aerial', 'astrodroid', 'begins']"
52,Spartan,2004,"['bellboy', 'black', 'camaro']"
53,Custody,2017,"['baby', 'bed', 'boys']"
54,City of Joy,1992,"['angle', 'builds', 'cough']"
55,Indiana Jones and the Temple of Doom,1984,"['hollers', 'indy', 'maharajah']"
56,X Men,2006,"['bryan', 'chris', 'mcquarrie']"
57,Carrie,1976,"['90', 'carrie', 'creamcheese']"
58,Little Men,2016,"['dinner', 'disco', 'food']"
59,12 Years a Slave,122013,"['58', 'acrobats', 'clothes']"
60,Kiss of the Spider Woman,1985,"['brought', 'com', 'database']"
61,Blow,2001,"['ants', 'carlos', 'dive']"
62,The Saint,1997,"['500px', '75in', 'div']"
63,Last Tango in Paris,1973,"['adamant', 'blood', 'comes']"
64,The Shining,1980,"['bacon', 'breakfast', 'camera']"
65,Halloween The Curse of Michael Myers,1995,"['curse', 'daniel', 'halloween']"
66,The Last Samurai,2003,"['algren', 'asleep', 'col']"
67,Fletch,1985,"['doors', 'fletch', 'gail']"
68,ParaNorman,2012,"['118', 'alvin', 'boys']"
69,Silver Linings Playbook,2012,"['car', 'dance', 'dr']"
70,Dogma,1999,"['darts', 'fried', 'gang']"
71,Prometheus,2012,"['dancing', 'hang', 'holding']"
72,Scream,1996,"['agonizing', 'closet', 'dead']"
73,Bodyguard,2018,"['comes', 'devaney', 'disapproval']"
74,Indiana Jones and the Raiders of the Lost Ark,1981,"['arabs', 'dive', 'drink']"
75,The Stuntman,1980,"['away', 'bank', 'crystallized']"
76,Saving Private Ryan,1998,"['explosives', 'ext', 'french']"
77,The Getaway,2014,"['bursts', 'car', 'carol']"
78,Jaws,1975,"['closer', 'fires', 'forward']"
79,Ninja Assassin,2009,"['119', 'cartwheels', 'collapses']"
80,Wind Chill,2007,"['43', 'ambulance', 'black']"
81,Mirrors,2008,"['ben', 'cardiac', 'ghosts']"
82,To Sleep with Anger,1990,"['boy', 'drop', 'gentleman']"
83,Analyze That,2002,"['18', 'cell', 'cruise']"
84,Hancock,2008,"['17', 'aaron', 'diving']"
85,Syriana,2005,"['10', 'barhani', 'bills']"
86,50 50,50502016,"['adam', 'boxes', 'cancer']"
87,Big Fish,2004,"['anticipation', 'bed', 'clown']"
88,Rambling Rose,1991,"['buddy', 'cigarette', 'cut']"
89,The Private Life of Sherlock Holmes,1970,"['border', 'dead', 'fifties']"
90,Inception,2010,"['528', 'handcuffs', 'headed']"
91,Interview with the Vampire,1994,"['feel', 'hush', 'louis']"
92,Shakespeare in Love,1998,"['afternoon', 'cushions', 'drunk']"
93,The Postman,1997,"['61', 'army', 'bloodied']"
94,Office Space,1999,"['kiss', 'laughs', 'lawrence']"
95,Agnes of God,1985,"['black', 'distorted', 'frighten']"
96,Alien vs. Predator,2004,"['ackland', 'beard', 'clatters']"
97,Three Kings (Spoils of War),1999,"['baking', 'epps', 'fear']"
98,Suspect Zero,2004,"['caught', 'cursed', 'disappointed']"
99,Top Gun,1986,"['chip', 'href', 'location']"
100,Defiance,2009,"['30', 'arms', 'begin']"
101,Mission Impossible,1996,"['calling', 'cia', 'cockroach']"
102,The Little Mermaid,1989,"['ariel', 'arrives', 'doesn']"
103,Grosse Point Blank,1997,"['actions', 'away', 'chalice']"
104,Badlands,2015,"['cadillac', 'doves', 'ext']"
105,Leviathan,1989,"['beck', 'damn', 'dejesus']"
106,The Sandlot Kids,1993,"['ball', 'baseball', 'beast']"
107,The Searchers,1956,"['captain', 'crosses', 'dead']"
108,The Battle of Algiers,1966,"['anger', 'arms', 'away']"
109,The Battle of Shaker Heights,2003,"['cookie', 'eve', 'friends']"
